duration,protocol,src_bytes,dst_bytes,flag,service,count,srv_count,label
225.4081,tcp,224777,266,SF,http,3,3,attack
291.2781,udp,117607,1318,SF,http,2,3,attack
3.2531,tcp,436,165,S0,smtp,164,43,attack
2.5916,tcp,118,285,RSTO,ssh,84,107,attack
1.0408,tcp,240,179,SF,ftp,55,149,attack
0.331,tcp,59,8,RSTO,http,133,2,attack
1.4424,tcp,122,52,SF,http,792,418,attack
1.9392,tcp,412,36,REJ,http,902,279,attack
1.068,tcp,258,100,SF,http,955,149,attack
213.1428,udp,292053,1675,SF,ftp,7,5,attack
4.8347,tcp,936,202,S0,ssh,94,33,attack
4.3832,tcp,667,152,S0,smtp,61,92,attack
0.3816,tcp,48,28,S0,ftp,96,2,attack
4.4347,tcp,127,312,SF,ftp,158,115,attack
0.7723,tcp,141,47,S0,http,128,213,attack
0.4196,tcp,60,21,S0,http,69,3,attack
3.5108,tcp,242,488,S0,ftp,144,21,attack
0.0095,tcp,46,9,RSTO,other,447,3,attack
0.6023,tcp,124,30,SF,http,754,456,attack
0.4078,tcp,956,355,S0,smtp,34,81,attack
0.5825,tcp,100,78,SF,http,346,342,attack
1.0178,tcp,784,143,S0,ftp,47,149,attack
0.1952,tcp,55,2,RSTO,ssh,179,1,attack
242.9004,udp,176419,1601,SF,http,2,5,attack
66.0206,udp,336268,793,SF,http,3,4,attack
3.1955,tcp,930,169,SF,smtp,147,29,attack
84.4296,tcp,71970,746,SF,ftp,9,4,attack
1.3412,tcp,871,431,SF,ftp,121,32,attack
103.7685,udp,279088,1921,SF,ftp,8,4,attack
292.9054,udp,412843,1118,SF,ftp,9,3,attack
0.3635,tcp,42,27,S0,ssh,214,1,attack
0.164,tcp,49,19,RSTO,ftp,135,4,attack
150.725,udp,372359,990,SF,ftp,1,1,attack
1.8802,tcp,920,483,S0,ssh,37,56,attack
0.2705,tcp,168,220,S0,ftp,122,118,attack
0.3025,tcp,54,23,REJ,ftp,440,1,attack
1.0589,tcp,303,40,REJ,http,385,177,attack
0.013,tcp,45,31,RSTO,other,184,3,attack
1.1514,tcp,726,246,S0,ftp,81,51,attack
1.7057,tcp,331,22,REJ,http,555,94,attack
210.3167,tcp,338356,1210,SF,ftp,5,2,attack
1.5874,tcp,360,28,S0,http,305,455,attack
0.4735,tcp,352,3,SF,http,667,343,attack
156.1996,tcp,370837,1910,SF,other,2,3,attack
4.998,tcp,836,345,S0,ftp,134,38,attack
1.9448,tcp,428,9,SF,http,577,398,attack
64.6503,tcp,452538,364,SF,ftp,9,1,attack
0.2591,tcp,49,10,S0,ssh,413,2,attack
285.8204,udp,493512,261,SF,ftp,4,5,attack
63.796,udp,372137,1192,SF,other,9,2,attack
0.3424,tcp,419,92,REJ,http,445,481,attack
0.4126,tcp,40,5,S0,ssh,383,2,attack
3.1287,tcp,131,354,S0,smtp,104,97,attack
1.2999,tcp,926,450,RSTO,ftp,146,38,attack
0.079,tcp,53,30,RSTO,http,224,5,attack
0.6252,tcp,467,40,REJ,http,981,226,attack
0.7408,tcp,479,363,S0,ssh,111,81,attack
0.7004,tcp,560,226,SF,ssh,42,94,attack
4.3344,tcp,528,227,SF,ftp,177,100,attack
1.5262,tcp,355,65,SF,http,610,500,attack
164.29,tcp,256172,1135,SF,ftp,4,2,attack
43.1377,udp,309467,1323,SF,http,8,3,attack
0.4236,tcp,53,8,REJ,ssh,441,4,attack
42.2154,tcp,348991,1250,SF,other,6,5,attack
49.8536,udp,450767,1226,SF,ftp,10,5,attack
0.0643,tcp,43,25,REJ,ssh,335,3,attack
0.3981,tcp,360,51,REJ,http,141,73,attack
0.0685,tcp,50,30,RSTO,http,360,5,attack
0.6559,tcp,413,40,S0,http,502,365,attack
190.3057,udp,421583,1252,SF,ftp,8,1,attack
119.4347,tcp,268387,1295,SF,ftp,1,5,attack
1.4011,tcp,771,500,S0,smtp,88,33,attack
0.9355,tcp,744,469,S0,ftp,67,82,attack
0.2863,tcp,43,12,S0,ftp,210,4,attack
0.8259,tcp,204,52,REJ,http,893,363,attack
4.3768,tcp,853,472,SF,smtp,65,73,attack
299.4932,udp,325501,871,SF,ftp,3,4,attack
177.4938,udp,369855,1091,SF,other,4,3,attack
90.7141,udp,454317,691,SF,http,4,4,attack
159.5469,udp,200884,349,SF,http,9,4,attack
4.11,tcp,891,174,RSTO,ssh,103,40,attack
279.4826,udp,441820,1081,SF,other,4,5,attack
281.9165,udp,121970,323,SF,http,10,2,attack
0.1015,tcp,371,28,REJ,http,338,76,attack
0.2067,tcp,55,6,S0,other,331,2,attack
3.2992,tcp,999,343,RSTO,smtp,81,93,attack
107.0621,tcp,453033,283,SF,http,10,2,attack
0.4566,tcp,45,26,S0,other,478,4,attack
1.0129,tcp,866,248,SF,ssh,106,47,attack
106.8316,udp,120359,1842,SF,http,8,3,attack
1.6176,tcp,269,20,REJ,http,569,381,attack
224.0215,tcp,436199,790,SF,ftp,10,2,attack
1.2219,tcp,427,51,SF,http,627,217,attack
0.2004,tcp,43,11,S0,ftp,215,2,attack
0.1304,tcp,47,28,REJ,ssh,204,5,attack
0.1308,tcp,51,15,S0,other,288,3,attack
0.8108,tcp,357,90,SF,http,806,110,attack
129.2369,tcp,164886,373,SF,ftp,3,4,attack
142.2783,udp,447069,1200,SF,http,4,2,attack
0.2628,tcp,56,23,S0,other,81,5,attack
