duration,protocol,src_bytes,dst_bytes,flag,service,count,srv_count,label
7.3543,tcp,2326,48305,SF,http,4,11,benign
0.9036,tcp,3622,15287,SF,http,17,10,benign
12.5914,tcp,7399,38658,SF,ssh,9,13,benign
10.2141,tcp,2587,14150,S0,dns,11,2,benign
10.7758,tcp,5675,39605,SF,http,9,13,benign
3.7535,tcp,6241,5204,SF,https,18,5,benign
1.3843,tcp,3773,19005,SF,ssh,3,14,benign
8.3464,udp,10455,23949,S0,https,6,6,benign
21.0576,tcp,11239,42509,SF,ssh,3,10,benign
13.8732,udp,4462,41983,SF,ssh,18,4,benign
24.6559,tcp,13229,20713,SF,http,13,5,benign
26.2923,tcp,5195,13974,SF,ssh,16,7,benign
4.1975,tcp,12245,36829,SF,dns,18,5,benign
6.5874,tcp,2306,33432,SF,http,16,2,benign
18.8271,tcp,13017,44636,SF,https,14,10,benign
17.8807,tcp,7708,34716,S0,http,9,9,benign
22.5288,tcp,12632,42046,SF,https,11,2,benign
13.6172,tcp,11870,47204,SF,http,9,9,benign
25.2517,udp,8357,39949,SF,https,7,3,benign
28.6055,tcp,8729,77,SF,dns,20,6,benign
27.8737,tcp,14436,20193,SF,http,8,1,benign
21.9599,udp,13409,4575,SF,https,18,13,benign
28.406,udp,2745,17410,S0,dns,17,14,benign
22.6604,tcp,11342,13222,SF,ssh,10,7,benign
13.5501,tcp,4101,14765,SF,https,3,6,benign
6.6143,tcp,1203,46429,SF,ssh,2,4,benign
2.135,tcp,3939,18290,SF,http,16,4,benign
23.5407,udp,13270,26717,SF,https,7,2,benign
12.7131,tcp,7691,47820,SF,http,2,11,benign
21.8491,tcp,13156,7201,S0,http,8,4,benign
12.6622,udp,4603,30358,SF,https,8,14,benign
2.9463,tcp,10724,35467,SF,https,1,2,benign
14.5744,udp,3542,26322,S0,dns,2,3,benign
7.9634,tcp,12886,29859,S0,http,10,7,benign
8.9083,tcp,998,37997,SF,dns,18,1,benign
17.5295,tcp,8278,34847,SF,http,6,1,benign
17.8551,tcp,11102,15454,SF,dns,13,2,benign
2.4687,udp,10810,38291,SF,http,19,9,benign
20.0951,tcp,5187,15682,SF,smtp,9,7,benign
9.4922,udp,12358,4794,S0,smtp,1,8,benign
6.4025,tcp,4385,8720,SF,https,12,15,benign
8.5568,tcp,7219,35640,SF,ssh,10,10,benign
28.1685,tcp,2240,17372,SF,smtp,4,15,benign
8.4599,tcp,3490,47069,SF,dns,11,4,benign
27.161,tcp,13902,3369,SF,https,3,11,benign
0.1163,tcp,12674,8613,SF,smtp,9,3,benign
0.3,tcp,1272,45326,SF,http,5,9,benign
16.5802,tcp,7081,8392,SF,ftp,2,5,benign
6.3102,tcp,4128,43748,SF,http,4,6,benign
25.9395,tcp,13145,11643,SF,dns,14,1,benign
24.069,udp,14196,48212,S0,ftp,8,5,benign
26.1663,udp,14107,30887,S0,https,8,4,benign
24.6179,tcp,14315,14955,SF,ftp,8,1,benign
8.3653,udp,1177,18332,SF,http,12,11,benign
3.4691,tcp,4319,11742,SF,ftp,19,5,benign
13.0426,tcp,11976,20597,SF,https,14,10,benign
5.7105,tcp,767,46490,SF,http,14,1,benign
2.1085,udp,10922,21679,S0,ftp,20,6,benign
9.2854,tcp,6731,21416,SF,smtp,13,12,benign
12.6192,tcp,6251,44428,SF,dns,6,10,benign
25.0134,tcp,5018,18843,SF,http,7,7,benign
13.2704,tcp,3541,33540,S0,https,16,13,benign
15.4684,udp,10410,40623,SF,https,11,2,benign
24.1988,udp,2454,1640,SF,smtp,2,4,benign
12.4391,tcp,10358,37767,S0,https,7,12,benign
7.3271,tcp,10788,45104,S0,https,1,15,benign
5.2848,tcp,11441,33984,SF,http,15,1,benign
4.0088,udp,7652,43790,S0,https,17,9,benign
24.452,tcp,14654,33121,SF,https,14,14,benign
13.5076,tcp,12357,16243,S0,dns,9,13,benign
13.2018,tcp,11730,18765,SF,ssh,8,5,benign
2.4265,tcp,2511,15195,SF,ftp,13,12,benign
12.4519,udp,5461,35600,SF,ssh,15,7,benign
11.6904,tcp,12652,38318,S0,ssh,1,14,benign
28.2828,tcp,4932,49419,SF,https,13,14,benign
6.5905,tcp,7180,31867,S0,ssh,1,7,benign
25.2168,tcp,2131,40820,SF,http,18,1,benign
19.2861,tcp,2263,30297,SF,http,6,1,benign
6.3577,tcp,5395,22158,SF,http,13,5,benign
14.1145,tcp,12312,35391,SF,smtp,2,6,benign
22.6295,udp,4091,13105,SF,https,1,10,benign
14.2121,udp,1914,37000,SF,ssh,7,8,benign
18.1807,tcp,12294,47118,SF,ftp,4,13,benign
17.3648,udp,5151,37775,SF,smtp,13,7,benign
20.7215,udp,10316,15955,SF,https,4,12,benign
23.4812,tcp,5728,34953,SF,https,14,11,benign
19.4298,tcp,247,27568,SF,https,16,2,benign
21.2222,tcp,7175,11583,S0,ftp,17,11,benign
13.0729,tcp,12017,38868,S0,https,9,6,benign
26.4501,udp,4035,49223,SF,https,15,10,benign
14.8343,tcp,5365,11957,SF,ftp,16,4,benign
8.397,tcp,9807,45992,SF,smtp,9,9,benign
7.2483,tcp,6698,32059,SF,ssh,18,13,benign
13.4508,udp,322,6138,S0,https,10,4,benign
19.9222,tcp,6086,31055,SF,ssh,18,9,benign
9.9304,tcp,11555,29776,SF,http,9,5,benign
21.6413,tcp,5209,7875,SF,ssh,18,13,benign
22.1608,udp,4570,47526,SF,ssh,19,13,benign
8.8944,tcp,5952,11799,SF,https,10,1,benign
29.2291,udp,9106,19185,SF,smtp,5,11,benign
17.2262,tcp,7730,31413,SF,https,15,6,benign
28.2325,udp,7867,7516,SF,http,3,7,benign
18.8871,tcp,918,9983,SF,https,5,13,benign
3.5624,tcp,12564,27314,SF,https,20,10,benign
27.256,udp,4911,38609,S0,http,14,5,benign
18.7692,tcp,4375,43321,SF,https,3,3,benign
2.2612,udp,83,26812,SF,dns,15,12,benign
6.952,tcp,11622,18568,SF,smtp,15,2,benign
19.8389,udp,3281,27901,SF,smtp,4,9,benign
24.8007,udp,1209,3948,SF,dns,6,13,benign
3.7394,tcp,11323,19968,S0,smtp,13,5,benign
17.9451,tcp,14612,28353,SF,https,11,10,benign
6.8754,tcp,11087,37736,SF,http,19,1,benign
14.1203,tcp,10714,29021,SF,http,9,3,benign
14.1056,tcp,6730,21883,SF,https,11,11,benign
12.3552,tcp,8157,18928,SF,dns,13,14,benign
9.4424,tcp,5336,7637,SF,https,13,14,benign
1.6356,tcp,8534,23749,S0,https,20,13,benign
6.1147,tcp,9038,8626,SF,https,10,8,benign
29.1947,tcp,10015,15722,SF,https,6,5,benign
6.7488,tcp,13825,7475,SF,http,15,2,benign
15.2711,udp,4519,27269,SF,https,16,8,benign
4.3478,udp,3162,39320,SF,https,17,12,benign
23.1825,udp,14038,27233,SF,https,11,15,benign
21.7843,tcp,13761,38505,SF,http,19,11,benign
16.162,tcp,5694,21826,S0,dns,18,13,benign
26.0894,tcp,11467,15690,SF,https,19,7,benign
9.5521,udp,7789,46257,SF,http,13,7,benign
3.7961,udp,9709,21797,SF,https,4,14,benign
27.3141,tcp,291,47386,SF,https,5,7,benign
23.4479,udp,4382,22227,S0,https,20,12,benign
25.5717,tcp,14119,35011,SF,https,13,6,benign
2.0619,tcp,10380,44892,SF,http,10,4,benign
22.8135,tcp,11572,6626,SF,http,15,3,benign
9.738,tcp,959,19266,SF,http,12,6,benign
15.9397,tcp,9312,44722,SF,dns,6,3,benign
26.1265,udp,10193,44809,SF,https,8,8,benign
19.1408,udp,7569,16773,S0,ssh,1,15,benign
4.7477,tcp,7277,22686,SF,smtp,19,5,benign
25.3607,tcp,3303,25251,S0,smtp,16,2,benign
10.7752,udp,4887,45867,SF,http,10,1,benign
16.9822,tcp,11276,48842,SF,smtp,2,15,benign
18.2159,tcp,5812,14392,SF,smtp,7,10,benign
27.1031,tcp,10629,2623,SF,dns,10,13,benign
10.9522,tcp,2193,5946,SF,http,10,6,benign
3.9735,tcp,8877,24016,SF,dns,17,9,benign
27.4223,tcp,7934,19382,SF,dns,11,13,benign
4.2313,tcp,3736,44363,SF,https,13,14,benign
0.4274,tcp,8831,8139,S0,https,15,6,benign
3.2593,tcp,3870,30938,SF,http,1,10,benign
19.0658,tcp,7646,45985,SF,ssh,10,11,benign
1.37,tcp,649,19986,SF,https,16,2,benign
4.0786,tcp,7472,24354,SF,ssh,18,7,benign
25.0125,udp,10126,26786,SF,http,9,1,benign
13.3464,tcp,3908,23808,S0,ssh,4,11,benign
11.9502,tcp,3149,8045,SF,ftp,15,2,benign
23.606,udp,4030,8292,SF,http,19,4,benign
6.4864,tcp,14289,15309,SF,ssh,11,13,benign
25.7536,udp,2410,8559,SF,http,18,5,benign
3.9628,udp,5909,15633,SF,https,19,6,benign
1.5814,tcp,12192,27628,SF,dns,17,2,benign
23.3427,tcp,8448,38946,S0,https,4,8,benign
9.0559,udp,10580,2081,SF,http,2,8,benign
14.7132,tcp,14944,29109,SF,http,3,15,benign
4.4585,tcp,2107,18063,SF,ftp,20,11,benign
15.9214,tcp,7473,33171,SF,http,20,7,benign
21.628,tcp,3562,28225,SF,https,15,15,benign
24.8243,udp,6572,27302,SF,http,4,6,benign
11.2353,tcp,2540,45051,SF,ftp,16,2,benign
12.962,tcp,12239,48457,SF,https,12,13,benign
28.6992,udp,9242,21643,SF,http,4,7,benign
29.0523,tcp,9877,20516,SF,http,12,2,benign
6.7351,udp,1813,22985,S0,dns,18,6,benign
6.7925,tcp,7070,36803,SF,smtp,20,10,benign
5.4207,tcp,11553,20289,SF,smtp,11,6,benign
16.994,tcp,6606,4600,SF,dns,5,12,benign
6.4618,tcp,6918,29770,SF,https,11,3,benign
23.3073,tcp,9339,39114,SF,smtp,3,15,benign
22.6355,tcp,855,44209,SF,dns,3,5,benign
18.2162,tcp,6825,17942,S0,http,7,13,benign
3.3356,tcp,11151,44505,S0,ftp,19,8,benign
11.8639,tcp,9859,3630,SF,http,1,4,benign
22.9272,tcp,4782,21543,SF,ssh,4,1,benign
3.8843,tcp,8765,46155,SF,http,8,9,benign
25.8543,tcp,733,28628,S0,https,1,8,benign
12.8842,tcp,6666,46537,SF,ftp,14,5,benign
28.9863,tcp,2855,40549,SF,http,15,14,benign
25.3361,tcp,4026,28592,S0,https,19,7,benign
22.3767,tcp,3670,21867,SF,http,6,2,benign
10.5395,tcp,13457,42339,SF,ssh,5,4,benign
5.9262,tcp,9909,10058,SF,dns,3,3,benign
22.7987,tcp,7394,44678,SF,https,19,11,benign
13.1985,tcp,7722,29020,SF,ftp,10,13,benign
15.225,tcp,5125,30300,SF,http,15,1,benign
